No.,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
410456,MIRT698092,hsa-miR-6825-3p,Homo sapiens,TPM1,7168,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
410448,MIRT698084,hsa-miR-6828-3p,Homo sapiens,TPM1,7168,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
410455,MIRT698091,hsa-miR-6831-3p,Homo sapiens,TPM1,7168,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
410450,MIRT698086,hsa-miR-8064,Homo sapiens,TPM1,7168,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
410459,MIRT698095,hsa-miR-892a,Homo sapiens,TPM1,7168,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
445396,MIRT736811,hsa-miR-1273f,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
279381,MIRT553444,hsa-miR-1276,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
129810,MIRT465337,hsa-miR-1293,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129811,MIRT465337,hsa-miR-1293,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129812,MIRT465337,hsa-miR-1293,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
293104,MIRT565257,hsa-miR-1295b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
293105,MIRT565257,hsa-miR-1295b-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
445898,MIRT737269,hsa-miR-1302,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
293108,MIRT565260,hsa-miR-130a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129946,MIRT465379,hsa-miR-1321,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129947,MIRT465379,hsa-miR-1321,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129948,MIRT465379,hsa-miR-1321,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129949,MIRT465379,hsa-miR-1321,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
446055,MIRT737413,hsa-miR-133a-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
446065,MIRT737421,hsa-miR-133b,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
473608,MIRT762599,hsa-miR-138-1-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
1568,MIRT001325,hsa-miR-1-3p,Homo sapiens,TPM3,7170,Homo sapiens,pSILAC//Proteomics,Functional MTI (Weak),18668040
1569,MIRT001325,hsa-miR-1-3p,Homo sapiens,TPM3,7170,Homo sapiens,Proteomics;Microarray,Functional MTI (Weak),18668037
14137,MIRT021512,hsa-miR-145-5p,Homo sapiens,TPM3,7170,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
14138,MIRT021512,hsa-miR-145-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
14139,MIRT021512,hsa-miR-145-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
473742,MIRT762731,hsa-miR-146b-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
279378,MIRT553442,hsa-miR-15a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
279379,MIRT553442,hsa-miR-15a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
279376,MIRT553441,hsa-miR-15b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
279377,MIRT553441,hsa-miR-15b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
1693,MIRT001403,hsa-miR-16-5p,Homo sapiens,TPM3,7170,Homo sapiens,pSILAC//Proteomics;Other,Functional MTI (Weak),18668040
1694,MIRT001403,hsa-miR-16-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
1695,MIRT001403,hsa-miR-16-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
446728,MIRT738038,hsa-miR-181c-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129798,MIRT465331,hsa-miR-1827,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129799,MIRT465331,hsa-miR-1827,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
129801,MIRT465333,hsa-miR-1910-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
293102,MIRT565256,hsa-miR-1912,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
293103,MIRT565256,hsa-miR-1912,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
279374,MIRT553440,hsa-miR-195-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
279375,MIRT553440,hsa-miR-195-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
447478,MIRT738705,hsa-miR-197-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
447562,MIRT738785,hsa-miR-200c-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129926,MIRT465374,hsa-miR-214-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129927,MIRT465374,hsa-miR-214-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129928,MIRT465374,hsa-miR-214-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129929,MIRT465374,hsa-miR-214-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
398119,MIRT686564,hsa-miR-216b-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
90877,MIRT404930,hsa-miR-218-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23212916
279380,MIRT553443,hsa-miR-2278,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
293107,MIRT565259,hsa-miR-23a-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
293106,MIRT565258,hsa-miR-23b-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
293109,MIRT565261,hsa-miR-23c,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129795,MIRT465328,hsa-miR-2467-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
332808,MIRT627361,hsa-miR-25-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
23562,MIRT029782,hsa-miR-26b-5p,Homo sapiens,TPM3,7170,Homo sapiens,Microarray,Functional MTI (Weak),19088304
293100,MIRT565254,hsa-miR-29b-2-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
449007,MIRT740100,hsa-miR-3132,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
279364,MIRT553433,hsa-miR-3148,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
476205,MIRT765170,hsa-miR-3163,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
129851,MIRT465353,hsa-miR-3173-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129852,MIRT465353,hsa-miR-3173-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
449806,MIRT740832,hsa-miR-3180,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
449761,MIRT740792,hsa-miR-3180-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
476429,MIRT765391,hsa-miR-3190-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
450088,MIRT741090,hsa-miR-3196,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
216778,MIRT510612,hsa-miR-3199,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
216779,MIRT510612,hsa-miR-3199,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
216780,MIRT510612,hsa-miR-3199,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
476721,MIRT765682,hsa-miR-339-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
129846,MIRT465351,hsa-miR-3614-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129847,MIRT465351,hsa-miR-3614-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129848,MIRT465351,hsa-miR-3614-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129922,MIRT465373,hsa-miR-3619-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129923,MIRT465373,hsa-miR-3619-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129924,MIRT465373,hsa-miR-3619-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129925,MIRT465373,hsa-miR-3619-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
279362,MIRT553431,hsa-miR-363-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
129879,MIRT465361,hsa-miR-365a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129880,MIRT465361,hsa-miR-365a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129881,MIRT465361,hsa-miR-365a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129882,MIRT465361,hsa-miR-365a-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129875,MIRT465360,hsa-miR-365b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129876,MIRT465360,hsa-miR-365b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129877,MIRT465360,hsa-miR-365b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129878,MIRT465360,hsa-miR-365b-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
279367,MIRT553436,hsa-miR-371b-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
332811,MIRT627364,hsa-miR-377-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
452007,MIRT742811,hsa-miR-383-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
478788,MIRT767734,hsa-miR-3926,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
398115,MIRT686560,hsa-miR-3929,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
279372,MIRT553439,hsa-miR-424-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
279373,MIRT553439,hsa-miR-424-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129930,MIRT465375,hsa-miR-4257,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129931,MIRT465375,hsa-miR-4257,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129932,MIRT465375,hsa-miR-4257,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129933,MIRT465375,hsa-miR-4257,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
452998,MIRT743705,hsa-miR-4282,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129883,MIRT465362,hsa-miR-4294,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129831,MIRT465345,hsa-miR-4297,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129832,MIRT465345,hsa-miR-4297,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129833,MIRT465345,hsa-miR-4297,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
453121,MIRT743819,hsa-miR-4298,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
453459,MIRT744127,hsa-miR-4330,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129912,MIRT465370,hsa-miR-4419a,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129913,MIRT465370,hsa-miR-4419a,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129914,MIRT465370,hsa-miR-4419a,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129915,MIRT465370,hsa-miR-4419a,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
398114,MIRT686559,hsa-miR-4419b,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
479908,MIRT768843,hsa-miR-4421,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
129853,MIRT465354,hsa-miR-4428,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129854,MIRT465354,hsa-miR-4428,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129855,MIRT465354,hsa-miR-4428,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
454088,MIRT744709,hsa-miR-4451,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
332815,MIRT627367,hsa-miR-4459,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
398113,MIRT686558,hsa-miR-4478,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
129807,MIRT465336,hsa-miR-4483,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129808,MIRT465336,hsa-miR-4483,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129809,MIRT465336,hsa-miR-4483,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129796,MIRT465329,hsa-miR-4497,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129908,MIRT465369,hsa-miR-4510,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129909,MIRT465369,hsa-miR-4510,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129910,MIRT465369,hsa-miR-4510,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129911,MIRT465369,hsa-miR-4510,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
216781,MIRT510613,hsa-miR-4515,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
216782,MIRT510613,hsa-miR-4515,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129826,MIRT465343,hsa-miR-4533,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129827,MIRT465343,hsa-miR-4533,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129793,MIRT465327,hsa-miR-4537,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129794,MIRT465327,hsa-miR-4537,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
129789,MIRT465325,hsa-miR-455-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129790,MIRT465325,hsa-miR-455-3p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332813,MIRT627366,hsa-miR-4635,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332814,MIRT627366,hsa-miR-4635,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
129856,MIRT465355,hsa-miR-4648,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129857,MIRT465355,hsa-miR-4648,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129858,MIRT465355,hsa-miR-4648,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129859,MIRT465355,hsa-miR-4648,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
398109,MIRT686554,hsa-miR-4649-3p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
216773,MIRT510610,hsa-miR-4651,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
216774,MIRT510610,hsa-miR-4651,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
482122,MIRT771033,hsa-miR-4684-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
456641,MIRT747000,hsa-miR-4687-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
456709,MIRT747064,hsa-miR-4690-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
332816,MIRT627368,hsa-miR-4695-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
293101,MIRT565255,hsa-miR-4717-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
398106,MIRT686551,hsa-miR-4722-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
332807,MIRT627360,hsa-miR-4724-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
129942,MIRT465378,hsa-miR-4739,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129943,MIRT465378,hsa-miR-4739,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129944,MIRT465378,hsa-miR-4739,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129945,MIRT465378,hsa-miR-4739,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129824,MIRT465342,hsa-miR-4747-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129825,MIRT465342,hsa-miR-4747-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129938,MIRT465377,hsa-miR-4756-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129939,MIRT465377,hsa-miR-4756-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129940,MIRT465377,hsa-miR-4756-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129941,MIRT465377,hsa-miR-4756-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
398111,MIRT686556,hsa-miR-4768-3p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
129844,MIRT465350,hsa-miR-4779,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129845,MIRT465350,hsa-miR-4779,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
483377,MIRT772278,hsa-miR-4786-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
398108,MIRT686553,hsa-miR-485-5p,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
129804,MIRT465335,hsa-miR-488-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129805,MIRT465335,hsa-miR-488-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129806,MIRT465335,hsa-miR-488-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
279370,MIRT553438,hsa-miR-497-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
279371,MIRT553438,hsa-miR-497-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
459489,MIRT749604,hsa-miR-506-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
234338,MIRT520549,hsa-miR-5195-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
234339,MIRT520549,hsa-miR-5195-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129822,MIRT465341,hsa-miR-5196-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129823,MIRT465341,hsa-miR-5196-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
279366,MIRT553435,hsa-miR-545-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
485646,MIRT774526,hsa-miR-548s,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
460858,MIRT750849,hsa-miR-550a-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129828,MIRT465344,hsa-miR-5581-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129829,MIRT465344,hsa-miR-5581-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129830,MIRT465344,hsa-miR-5581-5p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129837,MIRT465347,hsa-miR-5681a,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129838,MIRT465347,hsa-miR-5681a,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
461239,MIRT751192,hsa-miR-5685,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
398112,MIRT686557,hsa-miR-5690,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
486313,MIRT775190,hsa-miR-5699-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
279365,MIRT553434,hsa-miR-570-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
486509,MIRT775383,hsa-miR-593-3p,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),27292025
129797,MIRT465330,hsa-miR-6077,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
216771,MIRT510609,hsa-miR-608,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
216772,MIRT510609,hsa-miR-608,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
129888,MIRT465364,hsa-miR-6081,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129889,MIRT465364,hsa-miR-6081,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129890,MIRT465364,hsa-miR-6081,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
129891,MIRT465364,hsa-miR-6081,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),26701625
332810,MIRT627363,hsa-miR-6086,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332812,MIRT627365,hsa-miR-6087,Homo sapiens,TPM3,7170,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
279363,MIRT553432,hsa-miR-6124,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
129904,MIRT465368,hsa-miR-6127,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129905,MIRT465368,hsa-miR-6127,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
129906,MIRT465368,hsa-miR-6127,Homo sapiens,TPM3,7170,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
